"V1" "V2" "V3" "V4" "V5"
"6" 1 1 100 2 0.6
"602" 2401 1 100 2 0.7
"1221" 4801 1 100 2 0.8
"1818" 7201 1 100 2 0.9
"2402" 9601 1 100 2 0.95
"6100" 601 1 100 3 0.6
"6071" 3001 1 100 3 0.7
"12041" 5401 1 100 3 0.8
"18061" 7801 1 100 3 0.9
"24131" 10201 1 100 3 0.95
"7102" 1201 1 100 5 0.6
"8142" 3601 1 100 5 0.7
"14142" 6001 1 100 5 0.8
"20132" 8401 1 100 5 0.9
"26402" 10801 1 100 5 0.95
"5293" 1801 1 100 10 0.6
"16703" 4201 1 100 10 0.7
"26433" 6601 1 100 10 0.8
"23114" 201 1 100 10 0.9
"14363" 946 1 100 10 0.95
"106" 101 1 500 2 0.6
"702" 2501 1 500 2 0.7
"1303" 4901 1 500 2 0.8
"1903" 7301 1 500 2 0.9
"2503" 9701 1 500 2 0.95
"10310" 701 1 500 3 0.6
"7021" 3101 1 500 3 0.7
"13021" 5501 1 500 3 0.8
"19121" 7901 1 500 3 0.9
"25021" 10301 1 500 3 0.95
"10512" 1301 1 500 5 0.6
"9142" 3701 1 500 5 0.7
"15103" 6101 1 500 5 0.8
"21182" 8501 1 500 5 0.9
"27103" 10901 1 500 5 0.95
"6283" 1901 1 500 10 0.6
"17473" 4301 1 500 10 0.7
"27443" 6701 1 500 10 0.8
"3343" 301 1 500 10 0.9
"15353" 1046 1 500 10 0.95
"205" 201 1 1000 2 0.6
"803" 2601 1 1000 2 0.7
"1401" 5001 1 1000 2 0.8
"2003" 7401 1 1000 2 0.9
"2609" 9801 1 1000 2 0.95
"20110" 801 1 1000 3 0.6
"8021" 3201 1 1000 3 0.7
"14021" 5601 1 1000 3 0.8
"20141" 8001 1 1000 3 0.9
"26021" 10401 1 1000 3 0.95
"20612" 1401 1 1000 5 0.6
"10222" 3801 1 1000 5 0.7
"16103" 6201 1 1000 5 0.8
"22172" 8601 1 1000 5 0.9
"28132" 11001 1 1000 5 0.95
"7573" 2001 1 1000 10 0.6
"18723" 4401 1 1000 10 0.7
"28443" 6801 1 1000 10 0.8
"4433" 401 1 1000 10 0.9
"16333" 1146 1 1000 10 0.95
"303" 301 1 2000 2 0.6
